Sample, Num_genes, Num_genes_binned, Num_genes_unbinned, Perc_genes_binned
M1.1,26476,18583,7893,70.18809487838043
M1.2,23919,18256,5663,76.32426104770266
M1.3,25220,17615,7605,69.84536082474226
M1.4,29285,21821,7464,74.51254908656308
M1.5,24581,17459,7122,71.02640250600058
C1.1,26187,20652,5535,78.86355825409555
C1.2,24768,20428,4340,82.47739018087856
C1.3,23902,17124,6778,71.64254037319053
C1.4,23576,19156,4420,81.25212080081438
C1.5,32721,26876,5845,82.13685400812933
C2.1,24622,20750,3872,84.27422630168142
C2.2,24409,19092,5317,78.21705108771356
C2.3,24533,19854,4679,80.92772999633148
C2.4,22498,17858,4640,79.37594452840251
C2.5,25931,23240,2691,89.62245960433458
C3.1,17148,14662,2486,85.50268252857475
C3.2,19295,17594,1701,91.18424462295933
C3.3,20915,15537,5378,74.28639732249582
C3.4,39378,30722,8656,78.01818274163239
C3.5,20547,16686,3861,81.2089356110381
D1.1,47316,36078,11238,76.2490489475019
D1.2,66106,52241,13865,79.0261095815811
D1.3,59210,45787,13423,77.32984293193718
D1.4,61411,49050,12361,79.871684225953
D1.5,72342,57649,14693,79.68953028669375
D2.1,66545,40228,26317,60.452325494026596
D2.2,38174,29475,8699,77.21223869649499
D2.3,79866,50671,29195,63.44502040918538
D2.4,56545,30708,25837,54.30718896454152
D2.5,79531,50461,29070,63.448215161383615
D3.1,41074,32973,8101,80.27706091444709
D3.2,44084,33828,10256,76.73532347336902
D3.3,31014,21730,9284,70.065131875927
D3.4,53800,43470,10330,80.79925650557621
D3.5,26173,19571,6602,74.77553203683185
F1.1,7531,5466,2065,72.58000265568981
F1.2,9414,6514,2900,69.19481623114511
F1.3,16112,11950,4162,74.16832174776565
F1.4,10247,5912,4335,57.69493510295697
F1.5,7809,4096,3713,52.45229862978614
F2.1,9499,6225,3274,65.53321402252868
F2.2,19383,16655,2728,85.92581127792396
F2.3,10250,7891,2359,76.98536585365854
F2.4,7193,3937,3256,54.73376894202697
F2.5,4650,2053,2597,44.15053763440861
F3.1,5291,1469,3822,27.764127764127768
F3.2,7436,3449,3987,46.382463690156
F3.3,4650,1366,3284,29.376344086021504
F3.4,10380,6436,3944,62.00385356454721
F3.5,42831,24514,18317,57.23424622352968
