"ID","Concentration","Host"
"C4.1",1.9,"Apis cerana"
"C4.2",8.62,"Apis cerana"
"C4.3",1.8,"Apis cerana"
"C4.4",2.56,"Apis cerana"
"C4.5",3.53,"Apis cerana"
"C5.1",16.7,"Apis cerana"
"C5.2",5.5,"Apis cerana"
"C5.3",3.14,"Apis cerana"
"C5.4",3.17,"Apis cerana"
"C5.5",4.23,"Apis cerana"
"A1.1",1.28,"Apis andreniformis"
"A1.2",1.96,"Apis andreniformis"
"A1.3",1.04,"Apis andreniformis"
"A1.4",3.56,"Apis andreniformis"
"A1.5",3.01,"Apis andreniformis"
"F4.1",2.15,"Apis florea"
"F4.2",1.28,"Apis florea"
"F4.3",4.64,"Apis florea"
"F4.4",2.23,"Apis florea"
"F4.5",2.52,"Apis florea"
"A2.1",5.18,"Apis andreniformis"
"A2.2",1.97,"Apis andreniformis"
"A2.3",1.8,"Apis andreniformis"
"A2.4",2.92,"Apis andreniformis"
"A2.5",2.62,"Apis andreniformis"
"A3.1",1.23,"Apis andreniformis"
"A3.2",1.41,"Apis andreniformis"
"A3.3",1.82,"Apis andreniformis"
"A3.4",3.08,"Apis andreniformis"
"A3.5",1.76,"Apis andreniformis"
"D4.1",6.64,"Apis dorsata"
"D4.2",13.7,"Apis dorsata"
"D4.3",3.03,"Apis dorsata"
"D4.4",5.29,"Apis dorsata"
"D4.5",10.9,"Apis dorsata"
"D5.1",9.74,"Apis dorsata"
"D5.2",12.1,"Apis dorsata"
"D5.3",6.96,"Apis dorsata"
"D5.4",3.48,"Apis dorsata"
"D5.5",4.84,"Apis dorsata"
"D6.1",4.97,"Apis dorsata"
"D6.2",9.08,"Apis dorsata"
"D6.3",4.49,"Apis dorsata"
"D6.4",4.91,"Apis dorsata"
"D6.5",5.45,"Apis dorsata"
"D7.1",11.4,"Apis dorsata"
"D7.2",9.49,"Apis dorsata"
"D7.3",17.7,"Apis dorsata"
"D7.4",5.06,"Apis dorsata"
"D7.5",12.5,"Apis dorsata"
"M2.1",21.6,"Apis mellifera"
"M2.1",21.6,"Apis mellifera_subset"
"M2.2",5.4,"Apis mellifera"
"M2.2",5.4,"Apis mellifera_subset"
"M2.3",5.53,"Apis mellifera"
"M2.3",5.53,"Apis mellifera_subset"
"M2.4",1.95,"Apis mellifera"
"M2.4",1.95,"Apis mellifera_subset"
"M2.5",2.29,"Apis mellifera"
"M2.5",2.29,"Apis mellifera_subset"
"M3.1",24.4,"Apis mellifera"
"M3.1",24.4,"Apis mellifera_subset"
"M3.2",11.8,"Apis mellifera"
"M3.2",11.8,"Apis mellifera_subset"
"M3.3",12.2,"Apis mellifera"
"M3.3",12.2,"Apis mellifera_subset"
"M3.4",2.98,"Apis mellifera"
"M3.4",2.98,"Apis mellifera_subset"
"M3.5",5.76,"Apis mellifera"
"M3.5",5.76,"Apis mellifera_subset"
"M4.1",4.63,"Apis mellifera"
"M4.1",4.63,"Apis mellifera_subset"
"M4.2",9.72,"Apis mellifera"
"M4.2",9.72,"Apis mellifera_subset"
"M4.3",7.95,"Apis mellifera"
"M4.3",7.95,"Apis mellifera_subset"
"M4.4",4.22,"Apis mellifera"
"M4.4",4.22,"Apis mellifera_subset"
"M4.5",0.665,"Apis mellifera"
"M4.5",0.665,"Apis mellifera_subset"
"F5.1",1.88,"Apis florea"
"F5.2",0.778,"Apis florea"
"F5.3",1.69,"Apis florea"
"F5.4",1.23,"Apis florea"
"F5.5",0.808,"Apis florea"
"M5.1",8.89,"Apis mellifera"
"M5.1",8.89,"Apis mellifera_subset"
"M5.2",8.84,"Apis mellifera"
"M5.2",8.84,"Apis mellifera_subset"
"M5.3",9.92,"Apis mellifera"
"M5.3",9.92,"Apis mellifera_subset"
"M5.4",3.56,"Apis mellifera"
"M5.4",3.56,"Apis mellifera_subset"
"M5.5",23.6,"Apis mellifera"
"M5.5",23.6,"Apis mellifera_subset"
"C6.1",3.72,"Apis cerana"
"C6.2",2.9,"Apis cerana"
"C6.3",0.314,"Apis cerana"
"C6.4",6.25,"Apis cerana"
"C6.5",5.45,"Apis cerana"
"C7.1",2.44,"Apis cerana"
"C7.2",2.03,"Apis cerana"
"C7.3",4.52,"Apis cerana"
"C7.4",2.39,"Apis cerana"
"C7.5",3.35,"Apis cerana"
"M6.1",9,"Apis mellifera"
"M6.1",9,"Apis mellifera_subset"
"M6.2",6,"Apis mellifera"
"M6.2",6,"Apis mellifera_subset"
"M6.3",7.04,"Apis mellifera"
"M6.3",7.04,"Apis mellifera_subset"
"M6.4",10.4,"Apis mellifera"
"M6.4",10.4,"Apis mellifera_subset"
"M6.5",4.82,"Apis mellifera"
"M6.5",4.82,"Apis mellifera_subset"
"C8.1",3.08,"Apis cerana"
"C8.2",4.77,"Apis cerana"
"C8.3",8.7,"Apis cerana"
"C8.4",7.22,"Apis cerana"
"C8.5",1.39,"Apis cerana"
"D8.1",6.22,"Apis dorsata"
"D8.2",18.9,"Apis dorsata"
"D8.3",14.8,"Apis dorsata"
"D8.4",17.7,"Apis dorsata"
"D8.5",4.61,"Apis dorsata"
"C9.1",6.08,"Apis cerana"
"C9.2",1.87,"Apis cerana"
"C9.3",3.53,"Apis cerana"
"C9.4",3.39,"Apis cerana"
"C9.5",2.7,"Apis cerana"
"D9.1",8.03,"Apis dorsata"
"D9.2",2.89,"Apis dorsata"
"D9.3",10.7,"Apis dorsata"
"D9.4",14.5,"Apis dorsata"
"D9.5",8.66,"Apis dorsata"
"A4.1",1.17,"Apis andreniformis"
"A4.2",1.03,"Apis andreniformis"
"A4.3",4.64,"Apis andreniformis"
"A4.4",1.83,"Apis andreniformis"
"A4.5",0.678,"Apis andreniformis"
"A5.1",1.38,"Apis andreniformis"
"A5.2",5.49,"Apis andreniformis"
"A5.3",2.68,"Apis andreniformis"
"A5.4",2.24,"Apis andreniformis"
"A5.5",2.97,"Apis andreniformis"
"F6.1",2.15,"Apis florea"
"F6.2",1.17,"Apis florea"
"F6.3",0.999,"Apis florea"
"F6.4",1.98,"Apis florea"
"F6.5",0.952,"Apis florea"
"A6.1",1.23,"Apis andreniformis"
"A6.2",0.701,"Apis andreniformis"
"A6.3",2.59,"Apis andreniformis"
"A6.4",2.65,"Apis andreniformis"
"A6.5",0.718,"Apis andreniformis"
"M7.1",22,"Apis mellifera"
"M7.1",22,"Apis mellifera_subset"
"M7.2",73.4,"Apis mellifera"
"M7.3",9.22,"Apis mellifera"
"M7.3",9.22,"Apis mellifera_subset"
"M7.4",18.2,"Apis mellifera"
"M7.4",18.2,"Apis mellifera_subset"
"M7.5",99.8,"Apis mellifera"
"F7.1",3.16,"Apis florea"
"F7.2",0.78,"Apis florea"
"F7.3",1.49,"Apis florea"
"F7.4",1.63,"Apis florea"
"F7.5",0.79,"Apis florea"
"F8.1",3.14,"Apis florea"
"F8.2",1.19,"Apis florea"
"F8.3",3.04,"Apis florea"
"F8.4",5.12,"Apis florea"
"F8.5",3.06,"Apis florea"
"F9.1",2.9,"Apis florea"
"F9.2",2.02,"Apis florea"
"F9.3",0.886,"Apis florea"
"F9.4",2.06,"Apis florea"
"F9.5",5.98,"Apis florea"
