MAG_species_name_final	MAG_species_Name_in_analysis	cluster	RepMAG	MAG_species_name_final_nospace
Acinetobacter pollinis	g__Acinetobacter_109_0	109_0	A2-3_7	Acinetobacter_pollinis
Apibacter sp002964915	g__Apibacter_45_1	45_1	C7-4_2	Apibacter_sp002964915
Apibacter adventoris	g__Apibacter_46_1	46_1	D4-2_18	Apibacter_adventoris
Apilactobacillus SGB-72_1	g__Apilactobacillus_72_1	72_1	M2-5_7	Apilactobacillus_SGB-72_1
Apilactobacillus bombintestini	g__Apilactobacillus_73_1	73_1	D9-4_8	Apilactobacillus_bombintestini
Apilactobacillus zhangqiuensis	g__Apilactobacillus_74_1	74_1	F4-5_6	Apilactobacillus_zhangqiuensis
Apilactobacillus waqarii	g__Apilactobacillus_74_2	74_2	D8-1_17	Apilactobacillus_waqarii
Apilactobacillus apinorum	g__Apilactobacillus_75_0	75_0	D7-2_14	Apilactobacillus_apinorum
Bartonella_A apis	g__Bartonella_A_62_1	62_1	A2-1_23	Bartonella_A_apis
Bartonella_A SGB-62_2	g__Bartonella_A_62_2	62_2	M7-3_5	Bartonella_A_SGB-62_2
Bartonella_A sp016102285	g__Bartonella_A_63_1	63_1	M4-1_4	Bartonella_A_sp016102285
Bartonella_A sp016100455	g__Bartonella_A_63_2	63_2	M4-5_4	Bartonella_A_sp016100455
Bartonella_A sp945277285	g__Bartonella_A_64_1	64_1	F6-1_1	Bartonella_A_sp945277285
Bartonella_A SGB-65_1	g__Bartonella_A_65_1	65_1	D7-5_37	Bartonella_A_SGB-65_1
Bartonella_A SGB-66_1	g__Bartonella_A_66_1	66_1	D2-1_6	Bartonella_A_SGB-66_1
Bartonella_A SGB-66_2	g__Bartonella_A_66_2	66_2	D4-3_1	Bartonella_A_SGB-66_2
Bartonella_A SGB-67_0	g__Bartonella_A_67_0	67_0	D6-5_17	Bartonella_A_SGB-67_0
Bartonella_A SGB-68_0	g__Bartonella_A_68_0	68_0	D6-5_31	Bartonella_A_SGB-68_0
Bartonella_A SGB-69_1	g__Bartonella_A_69_1	69_1	D3-4_24	Bartonella_A_SGB-69_1
Bartonella_A SGB-70_1	g__Bartonella_A_70_1	70_1	A4-2_14	Bartonella_A_SGB-70_1
Bartonella_A sp945285915	g__Bartonella_A_70_2	70_2	M7-2_1	Bartonella_A_sp945285915
Bifidobacterium SGB-4_1	g__Bifidobacterium_4_1	4_1	D1-5_45	Bifidobacterium_SGB-4_1
Bifidobacterium SGB-4_2	g__Bifidobacterium_4_2	4_2	D6-5_30	Bifidobacterium_SGB-4_2
Bifidobacterium SGB-5_1	g__Bifidobacterium_5_1	5_1	D5-5_22	Bifidobacterium_SGB-5_1
Bifidobacterium SGB-5_2	g__Bifidobacterium_5_2	5_2	D2-2_9	Bifidobacterium_SGB-5_2
Bifidobacterium polysaccharolyticum	g__Bifidobacterium_6_1	6_1	F5-1_7	Bifidobacterium_polysaccharolyticum
Bifidobacterium mizhiense	g__Bifidobacterium_6_10	6_10	M6-3_11	Bifidobacterium_mizhiense
Bifidobacterium apousia	g__Bifidobacterium_6_11	6_11	F7-3_10	Bifidobacterium_apousia
Bifidobacterium asteroides_I	g__Bifidobacterium_6_2	6_2	C7-4_19	Bifidobacterium_asteroides_I
Bifidobacterium SGB-6_3	g__Bifidobacterium_6_3	6_3	A1-3_6	Bifidobacterium_SGB-6_3
Bifidobacterium SGB-6_4	g__Bifidobacterium_6_4	6_4	F3-3_5	Bifidobacterium_SGB-6_4
Bifidobacterium asteroides_A	g__Bifidobacterium_6_5	6_5	M2-5_17	Bifidobacterium_asteroides_A
Bifidobacterium sp000499285	g__Bifidobacterium_6_6	6_6	M7-3_12	Bifidobacterium_sp000499285
Bifidobacterium choladohabitans	g__Bifidobacterium_6_7	6_7	M5-5_7	Bifidobacterium_choladohabitans
Bifidobacterium SGB-6_8	g__Bifidobacterium_6_8	6_8	F9-5_11	Bifidobacterium_SGB-6_8
Bifidobacterium SGB-6_9	g__Bifidobacterium_6_9	6_9	C3-5_1	Bifidobacterium_SGB-6_9
Bifidobacterium SGB-61_0	g__Bifidobacterium_61_0	61_0	A6-2_11	Bifidobacterium_SGB-61_0
Bifidobacterium SGB-7_1	g__Bifidobacterium_7_1	7_1	M2-5_13	Bifidobacterium_SGB-7_1
Bifidobacterium indicum	g__Bifidobacterium_7_2	7_2	M2-4_14	Bifidobacterium_indicum
Bifidobacterium sp945269915	g__Bifidobacterium_8_1	8_1	C3-1_1	Bifidobacterium_sp945269915
Bifidobacterium SGB-8_2	g__Bifidobacterium_8_2	8_2	D3-5_2	Bifidobacterium_SGB-8_2
Bombella SGB-9_1	g__Bombella_9_1	9_1	D3-2_14	Bombella_SGB-9_1
Bombella SGB-9_2	g__Bombella_9_2	9_2	F1-5_4	Bombella_SGB-9_2
Bombilactobacillus mellifer-22_1	g__Bombilactobacillus_22_1	22_1	C9-4_3	Bombilactobacillus_mellifer-22_1
Bombilactobacillus mellifer-22_2	g__Bombilactobacillus_22_2	22_2	D7-3_7	Bombilactobacillus_mellifer-22_2
Bombilactobacillus SGB-22_3	g__Bombilactobacillus_22_3	22_3	D5-4_12	Bombilactobacillus_SGB-22_3
Bombilactobacillus mellifer	g__Bombilactobacillus_22_4	22_4	C4-3_6	Bombilactobacillus_mellifer
Bombilactobacillus SGB-35_1	g__Bombilactobacillus_35_1	35_1	D3-4_4	Bombilactobacillus_SGB-35_1
Bombilactobacillus mellis	g__Bombilactobacillus_36_1	36_1	A5-2_10	Bombilactobacillus_mellis
Bombilactobacillus mellis-36_2	g__Bombilactobacillus_36_2	36_2	C3-1_14	Bombilactobacillus_mellis-36_2
Bombilactobacillus SGB-37_0	g__Bombilactobacillus_37_0	37_0	A4-1_2	Bombilactobacillus_SGB-37_0
CALYQJ01 SGB-38_1	g__CALYQJ01_38_1	38_1	D8-1_24	CALYQJ01_SGB-38_1
CALYQJ01 sp945273735	g__CALYQJ01_39_1	39_1	M2-4_2	CALYQJ01_sp945273735
CALYQJ01 sp945285405	g__CALYQJ01_39_2	39_2	C5-2_10	CALYQJ01_sp945285405
CALYQQ01 SGB-104_1	g__CALYQQ01_104_1	104_1	D7-3_15	CALYQQ01_SGB-104_1
CALYQQ01 SGB-105_1	g__CALYQQ01_105_1	105_1	D8-5_9	CALYQQ01_SGB-105_1
CALYQQ01 SGB-105_2	g__CALYQQ01_105_2	105_2	D9-1_1	CALYQQ01_SGB-105_2
Commensalibacter sp945266285	g__Commensalibacter_10_1	10_1	D7-3_5	Commensalibacter_sp945266285
Commensalibacter sp003202795	g__Commensalibacter_11_1	11_1	M1-2_19	Commensalibacter_sp003202795
Commensalibacter SGB-12_0	g__Commensalibacter_12_0	12_0	A4-1_17	Commensalibacter_SGB-12_0
Commensalibacter SGB-13_0	g__Commensalibacter_13_0	13_0	F9-2_18	Commensalibacter_SGB-13_0
Corynebacterium provencense	g__Corynebacterium_2_0	2_0	C6-3_13	Corynebacterium_provencense
Corynebacterium sp022712275	g__Corynebacterium_3_0	3_0	M2-5_8	Corynebacterium_sp022712275
Dysgonomonas SGB-15_1	g__Dysgonomonas_15_1	15_1	D3-2_21	Dysgonomonas_SGB-15_1
Dysgonomonas sp945292135	g__Dysgonomonas_16_1	16_1	D3-4_25	Dysgonomonas_sp945292135
Dysgonomonas SGB-17_1	g__Dysgonomonas_17_1	17_1	D1-5_6	Dysgonomonas_SGB-17_1
Dysgonomonas SGB-17_2	g__Dysgonomonas_17_2	17_2	D4-4_29	Dysgonomonas_SGB-17_2
Dysgonomonas SGB-18_1	g__Dysgonomonas_18_1	18_1	D2-5_14	Dysgonomonas_SGB-18_1
Dysgonomonas sp945273835	g__Dysgonomonas_19_1	19_1	C1-2_18	Dysgonomonas_sp945273835
Dysgonomonas SGB-20_1	g__Dysgonomonas_20_1	20_1	D2-3_8	Dysgonomonas_SGB-20_1
Enterobacter hormaechei_A	g__Enterobacter_100_1	100_1	A5-5_3	Enterobacter_hormaechei_A
Enterobacter bugandensis	g__Enterobacter_101_1	101_1	D8-3_15	Enterobacter_bugandensis
Enterobacter vonholyi	g__Enterobacter_101_2	101_2	D9-3_3	Enterobacter_vonholyi
Enterobacter roggenkampii	g__Enterobacter_101_3	101_3	M5-5_18	Enterobacter_roggenkampii
Entomomonas sp945283395	g__Entomomonas_50_1	50_1	D9-2_26	Entomomonas_sp945283395
Entomomonas SGB-51_0	g__Entomomonas_51_0	51_0	D7-5_3	Entomomonas_SGB-51_0
Entomomonas SGB-52_0	g__Entomomonas_52_0	52_0	F2-2_6	Entomomonas_SGB-52_0
Escherichia coli	g__Escherichia_102_0	102_0	D8-3_30	Escherichia_coli
Floricoccus SGB-41_0	g__Floricoccus_41_0	41_0	F1-3_11	Floricoccus_SGB-41_0
Frischella SGB-92_1	g__Frischella_92_1	92_1	D9-1_27	Frischella_SGB-92_1
Frischella perrara	g__Frischella_93_1	93_1	M3-2_11	Frischella_perrara
Frischella SGB-94_1	g__Frischella_94_1	94_1	D3-4_7	Frischella_SGB-94_1
Frischella japonica	g__Frischella_95_1	95_1	C1-4_9	Frischella_japonica
Fructobacillus pseudoficulneus	g__Fructobacillus_40_0	40_0	D3-3_5	Fructobacillus_pseudoficulneus
Gilliamella SGB-76_1	g__Gilliamella_76_1	76_1	D9-4_10	Gilliamella_SGB-76_1
Gilliamella apicola_J	g__Gilliamella_77_1	77_1	D1-1_1	Gilliamella_apicola_J
Gilliamella apicola_K	g__Gilliamella_78_1	78_1	F4-5_12	Gilliamella_apicola_K
Gilliamella SGB-78_2	g__Gilliamella_78_2	78_2	D6-1_6	Gilliamella_SGB-78_2
Gilliamella SGB-79_1	g__Gilliamella_79_1	79_1	D9-4_23	Gilliamella_SGB-79_1
Gilliamella sp945271295	g__Gilliamella_80_0	80_0	D9-1_18	Gilliamella_sp945271295
Gilliamella apicola_L	g__Gilliamella_81_1	81_1	D8-1_33	Gilliamella_apicola_L
Gilliamella SGB-82_1	g__Gilliamella_82_1	82_1	D8-3_13	Gilliamella_SGB-82_1
Gilliamella SGB-83_1	g__Gilliamella_83_1	83_1	D4-2_24	Gilliamella_SGB-83_1
Gilliamella sp019469185	g__Gilliamella_84_1	84_1	D1-3_26	Gilliamella_sp019469185
Gilliamella apicola_I	g__Gilliamella_84_2	84_2	C6-2_8	Gilliamella_apicola_I
Gilliamella apicola_N	g__Gilliamella_85_1	85_1	M6-3_10	Gilliamella_apicola_N
Gilliamella apicola	g__Gilliamella_85_2	85_2	M1-3_5	Gilliamella_apicola
Gilliamella SGB-86_0	g__Gilliamella_86_0	86_0	D6-3_12	Gilliamella_SGB-86_0
Gilliamella apicola_F	g__Gilliamella_87_1	87_1	A6-5_5	Gilliamella_apicola_F
Gilliamella sp019469205	g__Gilliamella_88_1	88_1	C2-3_10	Gilliamella_sp019469205
Gilliamella apicola_E	g__Gilliamella_89_1	89_1	C5-1_18	Gilliamella_apicola_E
Gilliamella apicola_Q	g__Gilliamella_90_1	90_1	M1-5_10	Gilliamella_apicola_Q
Gilliamella apis	g__Gilliamella_91_1	91_1	M5-3_22	Gilliamella_apis
Gilliamella apis_A	g__Gilliamella_91_2	91_2	M5-5_6	Gilliamella_apis_A
Hafnia paralvei	g__Hafnia_107_0	107_0	D2-3_34	Hafnia_paralvei
JAATFO01 SGB-106_0	g__JAATFO01_106_0	106_0	C3-4_25	JAATFO01_SGB-106_0
