libraryName	laneNb	pipelineVersion	laneYield	clustersPF	percentPFClusters	percentQ30PF	meanScorePF	DirectoryLocation
A6-5	2	2.2	4,828	15,988,337	100	89.48	35.05	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A6-2	2	2.2	12,639	41,852,515	100	88.44	34.86	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A4-5	2	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F9-3	2	2.2	4,407	14,591,904	100	88.63	34.9	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F7-5	2	2.2	20,107	66,580,619	100	88.67	34.87	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F7-2	2	2.2	10,300	34,104,353	100	88.26	34.75	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F6-5	2	2.2	15,832	52,422,192	100	89	34.95	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F6-3	2	2.2	18,876	62,502,177	100	87.99	34.77	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F5-5	2	2.2	8,993	29,778,083	100	90.32	35.23	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F5-2	2	2.2	8,893	29,447,356	100	89.57	35.06	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C6-3	2	2.2	5,540	18,343,091	100	90.15	35.26	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M4-5	2	2.2	3,955	13,095,059	100	90.78	35.35	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A6-4	2	2.2	10,948	36,251,150	100	88.84	34.98	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A6-3	2	2.2	5,999	19,864,377	100	89.21	35.05	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A5-5	2	2.2	6,137	20,320,043	100	89.77	35.16	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
