Sl.No	Sample	Read_orientation	Mean_read_quality_(Phred_score)	Number_of_reads	%GC	%Q<10	%Q_10-20	%Q_20-30	%Q>30	Number_of_bases_(MB)	Mean_read_length_(bp)	Total_reads
1	C1-1	R1	35.65	22,242,939.00	32.55	0	2.92	4.95	92.13	3358.68	151	44,485,878.00
2	C1-2	R1	35.63	31,522,130.00	34.2	0	2.93	5.03	92.04	4759.84	151	63,044,260.00
3	C1-3	R1	35.27	2,664,061.00	29.19	0	4.2	5.33	90.47	402.27	151	5,328,122.00
4	C1-4	R1	35.55	12,184,193.00	32.95	0	3.25	5.02	91.73	1839.81	151	24,368,386.00
5	C1-5	R1	35.68	26,238,550.00	35.64	0	2.84	4.85	92.31	3962.02	151	52,477,100.00
6	C2-1	R1	35.68	36,650,117.00	34.21	0	2.83	4.86	92.31	5534.17	151	73,300,234.00
7	C2-2	R1	35.58	37,404,664.00	35.27	0	3.1	5.08	91.82	5648.1	151	74,809,328.00
8	C2-3	R1	35.58	25,093,587.00	34.33	0	3.09	5.15	91.75	3789.13	151	50,187,174.00
9	C2-4	R1	35.61	26,010,195.00	34.91	0	3.03	5.02	91.95	3927.54	151	52,020,390.00
10	C2-5	R1	35.65	33,206,747.00	35.47	0	2.89	4.98	92.13	5014.22	151	66,413,494.00
11	C3-1	R1	35.65	32,478,677.00	35.23	0	2.91	4.97	92.11	4904.28	151	64,957,354.00
12	C3-2	R1	35.31	4,681,754.00	30.02	0	4.07	5.3	90.63	706.94	151	9,363,508.00
13	C3-3	R1	35.64	35,230,576.00	37.37	0	2.96	4.95	92.08	5319.82	151	70,461,152.00
14	C3-4	R1	35.73	35,141,814.00	39.63	0	2.66	4.8	92.54	5306.41	151	70,283,628.00
15	C3-5	R1	35.71	25,084,199.00	33.23	0	2.74	4.79	92.47	3787.71	151	50,168,398.00
16	D1-1	R1	35.61	13,547,032.00	33.32	0	3.04	5.03	91.93	2045.6	151	27,094,064.00
17	D1-2	R1	35.66	24,952,572.00	35.39	0	2.89	4.94	92.17	3767.84	151	49,905,144.00
18	D1-3	R1	35.61	11,191,537.00	36.52	0	3.04	5.02	91.95	1689.92	151	22,383,074.00
19	D1-4	R1	35.67	18,933,330.00	36.38	0	2.85	4.9	92.25	2858.93	151	37,866,660.00
20	D1-5	R1	35.58	24,774,024.00	35.4	0	3.1	5.14	91.76	3740.88	151	49,548,048.00
21	D2-1	R1	35.58	23,593,027.00	35.91	0	3.14	5.06	91.8	3562.55	151	47,186,054.00
22	D2-2	R1	35.57	22,149,795.00	30.63	0	3.13	5.15	91.72	3344.62	151	44,299,590.00
23	D2-3	R1	35.6	32,773,459.00	35.62	0	3.04	5.07	91.89	4948.79	151	65,546,918.00
24	D2-4	R1	35.61	17,805,415.00	36.44	0	3.03	5.03	91.94	2688.62	151	35,610,830.00
25	D2-5	R1	35.61	33,308,146.00	35.05	0	3	5.08	91.92	5029.53	151	66,616,292.00
26	D3-1	R1	35.59	11,150,815.00	31.65	0	3.05	5.11	91.84	1683.77	151	22,301,630.00
27	D3-2	R1	35.53	21,093,948.00	35.59	0	3.22	5.24	91.53	3185.19	151	42,187,896.00
28	D3-3	R1	35.53	33,287,604.00	33.69	0	3.23	5.24	91.54	5026.43	151	66,575,208.00
29	D3-4	R1	35.69	23,386,695.00	35.39	0	2.81	4.87	92.32	3531.39	151	46,773,390.00
30	D3-5	R1	35.56	31,942,459.00	34.14	0	3.13	5.19	91.68	4823.31	151	63,884,918.00
31	F1-1	R1	35.46	27,484,667.00	30.78	0	3.44	5.34	91.22	4150.18	151	54,969,334.00
32	F1-2	R1	35.48	40,519,913.00	35.25	0	3.42	5.26	91.32	6118.51	151	81,039,826.00
33	F1-3	R1	35.53	46,858,926.00	35.91	0	3.27	5.16	91.56	7075.7	151	93,717,852.00
34	F1-4	R1	35.21	3,526,293.00	32.67	0	4.34	5.48	90.18	532.47	151	7,052,586.00
35	F1-5	R1	35.56	28,967,217.00	32.67	0	3.22	5.06	91.72	4374.05	151	57,934,434.00
36	F2-1	R1	35.56	38,922,433.00	37.02	0	3.17	5.1	91.73	5877.29	151	77,844,866.00
37	F2-2	R1	35.47	36,400,124.00	35.63	0	3.45	5.27	91.28	5496.42	151	72,800,248.00
38	F2-3	R1	35.53	38,694,247.00	36.23	0	3.27	5.15	91.58	5842.83	151	77,388,494.00
39	F2-4	R1	35.6	41,717,679.00	36.28	0	3.07	5.06	91.88	6299.37	151	83,435,358.00
40	F2-5	R1	35.42	22,999,284.00	34.16	0	3.59	5.38	91.03	3472.89	151	45,998,568.00
41	F3-1	R1	35.52	26,943,202.00	36.98	0	3.32	5.19	91.5	4068.42	151	53,886,404.00
42	F3-2	R1	35.51	27,021,430.00	36.27	0	3.35	5.21	91.45	4080.24	151	54,042,860.00
43	F3-3	R1	35.53	22,305,072.00	36.61	0	3.29	5.1	91.61	3368.07	151	44,610,144.00
44	F3-4	R1	35.48	23,587,437.00	36.02	0	3.43	5.25	91.32	3561.7	151	47,174,874.00
45	F3-5	R1	35.59	17,796,959.00	36.52	0	3.1	5.03	91.87	2687.34	151	35,593,918.00
46	M1-1	R1	35.69	30,592,124.00	34.33	0	2.84	4.79	92.37	4619.41	151	61,184,248.00
47	M1-2	R1	35.7	30,500,480.00	33.3	0	2.81	4.77	92.43	4605.57	151	61,000,960.00
