MAG_species_name_final	MAG_species_Name_in_analysis	cluster
Acinetobacter pollinis	g__Acinetobacter_109_0	109_0
Apibacter sp002964915	g__Apibacter_45_1	45_1
Apibacter adventoris	g__Apibacter_46_1	46_1
Apibacter SGB-72_1	g__Apilactobacillus_72_1	72_1
Apilactobacillus bombintestini	g__Apilactobacillus_73_1	73_1
Apilactobacillus zhangqiuensis	g__Apilactobacillus_74_1	74_1
Apilactobacillus waqarii	g__Apilactobacillus_74_2	74_2
Apilactobacillus apinorum	g__Apilactobacillus_75_0	75_0
Bartonella_A apis	g__Bartonella_A_62_1	62_1
Bartonella_A SGB-62_2	g__Bartonella_A_62_2	62_2
Bartonella_A sp016102285	g__Bartonella_A_63_1	63_1
Bartonella_A sp016100455	g__Bartonella_A_63_2	63_2
Bartonella_A sp945277285	g__Bartonella_A_64_1	64_1
Bartonella_A SGB-65_1	g__Bartonella_A_65_1	65_1
Bartonella_A SGB-66_1	g__Bartonella_A_66_1	66_1
Bartonella_A SGB-66_2	g__Bartonella_A_66_2	66_2
Bartonella_A SGB-67_0	g__Bartonella_A_67_0	67_0
Bartonella_A SGB-68_0	g__Bartonella_A_68_0	68_0
Bartonella_A SGB-69_1	g__Bartonella_A_69_1	69_1
Bartonella_A SGB-70_1	g__Bartonella_A_70_1	70_1
Bartonella_A sp945285915	g__Bartonella_A_70_2	70_2
Bifidobacterium SGB-4_1	g__Bifidobacterium_4_1	4_1
Bifidobacterium SGB-4_2	g__Bifidobacterium_4_2	4_2
Bifidobacterium SGB-5_1	g__Bifidobacterium_5_1	5_1
Bifidobacterium SGB-5_2	g__Bifidobacterium_5_2	5_2
Bifidobacterium polysaccharolyticum	g__Bifidobacterium_6_1	6_1
Bifidobacterium mizhiense	g__Bifidobacterium_6_10	6_10
Bifidobacterium apousia	g__Bifidobacterium_6_11	6_11
Bifidobacterium asteroides_I	g__Bifidobacterium_6_2	6_2
Bifidobacterium SGB-6_3	g__Bifidobacterium_6_3	6_3
Bifidobacterium SGB-6_4	g__Bifidobacterium_6_4	6_4
Bifidobacterium asteroides_A	g__Bifidobacterium_6_5	6_5
Bifidobacterium sp000499285	g__Bifidobacterium_6_6	6_6
Bifidobacterium choladohabitans	g__Bifidobacterium_6_7	6_7
Bifidobacterium SGB-6_8	g__Bifidobacterium_6_8	6_8
Bifidobacterium SGB-6_9	g__Bifidobacterium_6_9	6_9
Bifidobacterium SGB-61_0	g__Bifidobacterium_61_0	61_0
Bifidobacterium SGB-7_1	g__Bifidobacterium_7_1	7_1
Bifidobacterium indicum	g__Bifidobacterium_7_2	7_2
Bifidobacterium sp945269915	g__Bifidobacterium_8_1	8_1
Bifidobacterium SGB-8_2	g__Bifidobacterium_8_2	8_2
Bombella SGB-9_1	g__Bombella_9_1	9_1
Bombella SGB-9_2	g__Bombella_9_2	9_2
Bombilactobacillus mellifer-22_1	g__Bombilactobacillus_22_1	22_1
Bombilactobacillus mellifer-22_2	g__Bombilactobacillus_22_2	22_2
Bombilactobacillus SGB-22_3	g__Bombilactobacillus_22_3	22_3
Bombilactobacillus mellifer	g__Bombilactobacillus_22_4	22_4
Bombilactobacillus SGB-35_1	g__Bombilactobacillus_35_1	35_1
Bombilactobacillus mellis	g__Bombilactobacillus_36_1	36_1
Bombilactobacillus mellis-36_2	g__Bombilactobacillus_36_2	36_2
Bombilactobacillus SGB-37_0	g__Bombilactobacillus_37_0	37_0
CALYQJ01 SGB-38_1	g__CALYQJ01_38_1	38_1
CALYQJ01 sp945273735	g__CALYQJ01_39_1	39_1
CALYQJ01 sp945285405	g__CALYQJ01_39_2	39_2
CALYQQ01 SGB-104_1	g__CALYQQ01_104_1	104_1
CALYQQ01 SGB-105_1	g__CALYQQ01_105_1	105_1
CALYQQ01 SGB-105_2	g__CALYQQ01_105_2	105_2
Commensalibacter sp945266285	g__Commensalibacter_10_1	10_1
Commensalibacter sp003202795	g__Commensalibacter_11_1	11_1
